quarter_end,core_pce_yoy,unrate
1960-03-31,2.0732728092202724,5.4
1960-06-30,1.803645666773268,5.4
1960-09-30,1.54403354937096,5.5
1960-12-31,1.3276014666835145,6.6
1961-03-31,1.2615908660821296,6.9
1961-06-30,1.2753659609222812,6.9
1961-09-30,1.3328327388774097,6.7
1961-12-31,1.1729473421512537,6.0
1962-03-31,1.5386532112377838,5.6
1962-06-30,1.464019851116638,5.5
1962-09-30,1.2967765839199785,5.6
1962-12-31,1.2580167735569914,5.5
1963-03-31,1.104294478527601,5.7
1963-06-30,1.2350207874785912,5.6
1963-09-30,1.3045598634479294,5.5
1963-12-31,1.668696711327633,5.5
1964-03-31,1.7293689320388328,5.4
1964-06-30,1.4977654306075783,5.2
1964-09-30,1.4081116861234921,5.1
1964-12-31,1.2759075116808516,5.0
1965-03-31,1.1631374888159796,4.7
1965-06-30,1.1960014280613995,4.6
1965-09-30,1.329219083788269,4.3
1965-12-31,1.4609333412196168,4.0
1966-03-31,1.550707547169794,3.8
1966-06-30,2.2343740812606594,3.8
1966-09-30,2.6235652377605945,3.7
1966-12-31,3.0605106680657412,3.8
1967-03-31,3.0830865702839327,3.8
1967-06-30,2.8757117386553066,3.9
1967-09-30,3.098607623830163,3.8
1967-12-31,3.15628712031224,3.8
1968-03-31,4.032893995719267,3.7
1968-06-30,4.438978028735963,3.7
1968-09-30,4.566336414457295,3.4
1968-12-31,4.721171245270606,3.4
1969-03-31,4.634542501353556,3.4
1969-06-30,4.625020073871844,3.5
1969-09-30,4.64746982849884,3.7
1969-12-31,4.749188396690762,3.5
1970-03-31,4.641415709407015,4.4
1970-06-30,4.620107444359167,4.9
1970-09-30,4.618108244815389,5.4
1970-12-31,4.9587603099225275,6.1
1971-03-31,4.969589081738635,6.0
1971-06-30,5.071400625978084,5.9
1971-09-30,4.593144128027848,6.0
1971-12-31,3.7481544982616466,6.0
1972-03-31,3.537780290182768,5.8
1972-06-30,2.9834768443099957,5.7
1972-09-30,3.12947811214348,5.5
1972-12-31,3.0526992287917887,5.2
1973-03-31,2.9391692069703046,4.9
1973-06-30,3.6924884750971776,4.9
1973-09-30,4.280591662931421,4.8
1973-12-31,5.118268074301735,4.9
1974-03-31,6.302762430939213,5.1
1974-06-30,7.723488645774301,5.4
1974-09-30,9.176875134321927,5.9
1974-12-31,10.04322400203408,7.2
1975-03-31,9.93721674774437,8.6
1975-06-30,8.48877200080922,8.8
1975-09-30,7.15748031496064,8.4
1975-12-31,6.677449168207028,8.2
1976-03-31,6.073900381982544,7.6
1976-06-30,5.937418416439799,7.6
1976-09-30,6.157689764126673,7.6
1976-12-31,5.862392607031985,7.8
1977-03-31,6.29300816486611,7.4
1977-06-30,6.643196620313319,7.2
1977-09-30,6.4511663321104695,6.8
1977-12-31,6.48230239378027,6.4
1978-03-31,6.353146384006436,6.3
1978-06-30,6.556186451868462,5.9
1978-09-30,6.736458807464718,6.0
1978-12-31,6.888269766548172,6.0
1979-03-31,6.7684349965306145,5.8
1979-06-30,7.364148955945238,5.7
1979-09-30,7.520560462991166,5.9
1979-12-31,7.978309065851752,6.0
1980-03-31,9.349521446295661,6.3
1980-06-30,8.948203722406568,7.6
1980-09-30,9.513017365931042,7.5
1980-12-31,9.647346078077756,7.2
1981-03-31,9.071507685657942,7.4
1981-06-30,8.901896387329167,7.5
1981-09-30,8.427969061230822,7.6
1981-12-31,7.718001923174245,8.5
1982-03-31,6.952321981424148,9.0
1982-06-30,6.544738186151711,9.6
1982-09-30,6.069426219730412,10.1
1982-12-31,5.8283217440330715,10.8
1983-03-31,5.5601871150016136,10.3
1983-06-30,5.005934989043093,10.1
1983-09-30,5.126071211678163,9.2
1983-12-31,4.253146573730837,8.3
1984-03-31,4.420507645394123,7.8
1984-06-30,4.4455555314014905,7.2
1984-09-30,3.739997432496045,7.3
1984-12-31,4.100926221654411,7.3
1985-03-31,4.1913525778394245,7.2
1985-06-30,4.041959788535987,7.4
1985-09-30,4.12077713154313,7.1
1985-12-31,3.959829007383764,7.0
1986-03-31,3.6214788377392004,7.2
1986-06-30,3.4748339601504474,7.2
1986-09-30,3.1930908802788815,7.0
1986-12-31,3.197119641135626,6.6
1987-03-31,2.825507404308314,6.6
1987-06-30,3.1609473175447045,6.2
1987-09-30,3.447481572481581,5.9
1987-12-31,3.616639975596736,5.7
1988-03-31,3.9950038795632192,5.7
1988-06-30,4.2747376311844,5.4
1988-09-30,4.48118459140503,5.4
1988-12-31,4.627500045999011,5.3
1989-03-31,4.578541272383174,5.0
1989-06-30,4.21631530705775,5.3
1989-09-30,3.7508657893334574,5.3
1989-12-31,3.675436128306142,5.4
1990-03-31,3.97786594278553,5.2
1990-06-30,4.073326780140363,5.2
1990-09-30,4.358171142950074,5.9
1990-12-31,4.031957119109819,6.3
1991-03-31,3.6516383840412336,6.8
1991-06-30,3.468160201494652,6.9
1991-09-30,3.4281965061920605,6.9
1991-12-31,3.484371688053356,7.3
1992-03-31,3.2888788426763016,7.4
1992-06-30,3.012395503026788,7.8
1992-09-30,2.65641106970107,7.6
1992-12-31,2.7951093464422927,7.4
1993-03-31,2.699576383786906,7.0
1993-06-30,2.8823282496152514,7.0
1993-09-30,2.793140738452027,6.7
1993-12-31,2.463137242880342,6.5
1994-03-31,2.397260273972601,6.5
1994-06-30,2.265137434456066,6.1
1994-09-30,2.192731972707329,5.9
1994-12-31,2.1780430522520877,5.5
1995-03-31,2.199925678186543,5.4
1995-06-30,2.0923222412672082,5.6
1995-09-30,2.1486242040090087,5.6
1995-12-31,2.144791742917773,5.6
1996-03-31,1.959130245073104,5.5
1996-06-30,1.8540496728999045,5.3
1996-09-30,1.9033084741858497,5.2
1996-12-31,1.8603984520567662,5.4
1997-03-31,1.937177255998379,5.2
1997-06-30,1.968084350532151,5.0
1997-09-30,1.6205142695676855,4.9
1997-12-31,1.4521303540271147,4.7
1998-03-31,1.24405261684859,4.7
1998-06-30,0.9796817079628761,4.5
1998-09-30,1.2067790954717994,4.6
1998-12-31,1.3536754507628368,4.4
1999-03-31,1.1444525840025532,4.2
1999-06-30,1.397993403348008,4.3
1999-09-30,1.4314169929253495,4.2
1999-12-31,1.4395971317532563,4.0
2000-03-31,1.9008704920945085,4.0
2000-06-30,1.742112856248479,4.0
2000-09-30,1.850020992185497,3.9
2000-12-31,1.8710878480466153,3.9
2001-03-31,1.932464327861827,4.3
2001-06-30,2.092195735345248,4.5
