quarter_end,rate_adjust,target_end
1982-12-31,-1.75,8.5
1983-03-31,0.125,8.625
1983-06-30,0.375,9.0
1983-09-30,0.375,9.375
1983-12-31,0.0,9.375
1984-03-31,1.125,10.5
1984-06-30,0.0,10.5
1984-09-30,0.5,11.0
1984-12-31,-2.875,8.125
1985-03-31,0.375,8.5
1985-06-30,-0.75,7.75
1985-09-30,0.25,8.0
1985-12-31,-0.25,7.75
1986-03-31,-0.5,7.25
1986-06-30,-0.375,6.875
1986-09-30,-1.0,5.875
1986-12-31,0.0,5.875
1987-03-31,0.125,6.0
1987-06-30,0.75,6.75
1987-09-30,0.5625,7.3125
1987-12-31,-0.5,6.8125
1988-03-31,-0.0625,6.75
1988-06-30,0.6875,7.4375
1988-09-30,0.6875,8.125
1988-12-31,0.5625,8.6875
1989-03-31,1.0625,9.75
1989-06-30,-0.1875,9.5625
1989-09-30,-0.5,9.0625
1989-12-31,-0.8125,8.25
1990-03-31,0.0,8.25
1990-06-30,0.0,8.25
1990-09-30,-0.25,8.0
1990-12-31,-1.0,7.0
1991-03-31,-1.0,6.0
1991-06-30,-0.25,5.75
1991-09-30,-0.5,5.25
1991-12-31,-1.25,4.0
1992-03-31,0.0,4.0
1992-06-30,-0.25,3.75
1992-09-30,-0.75,3.0
1992-12-31,0.0,3.0
1993-03-31,0.0,3.0
1993-06-30,0.0,3.0
1993-09-30,0.0,3.0
1993-12-31,0.0,3.0
1994-03-31,0.5,3.5
1994-06-30,0.75,4.25
1994-09-30,0.5,4.75
1994-12-31,0.75,5.5
1995-03-31,0.5,6.0
1995-06-30,0.0,6.0
1995-09-30,-0.25,5.75
1995-12-31,-0.25,5.5
1996-03-31,-0.25,5.25
1996-06-30,0.0,5.25
1996-09-30,0.0,5.25
1996-12-31,0.0,5.25
1997-03-31,0.25,5.5
1997-06-30,0.0,5.5
1997-09-30,0.0,5.5
1997-12-31,0.0,5.5
1998-03-31,0.0,5.5
1998-06-30,0.0,5.5
1998-09-30,-0.25,5.25
1998-12-31,-0.5,4.75
1999-03-31,0.0,4.75
1999-06-30,0.25,5.0
1999-09-30,0.25,5.25
1999-12-31,0.25,5.5
2000-03-31,0.5,6.0
2000-06-30,0.5,6.5
2000-09-30,0.0,6.5
2000-12-31,0.0,6.5
2001-03-31,-1.5,5.0
2001-06-30,-1.25,3.75
2001-09-30,-0.75,3.0
2001-12-31,-1.25,1.75
2002-03-31,0.0,1.75
2002-06-30,0.0,1.75
2002-09-30,0.0,1.75
2002-12-31,-0.5,1.25
2003-03-31,0.0,1.25
2003-06-30,-0.25,1.0
2003-09-30,0.0,1.0
2003-12-31,0.0,1.0
2004-03-31,0.0,1.0
2004-06-30,0.25,1.25
2004-09-30,0.5,1.75
2004-12-31,0.5,2.25
2005-03-31,0.5,2.75
2005-06-30,0.5,3.25
2005-09-30,0.5,3.75
2005-12-31,0.5,4.25
2006-03-31,0.5,4.75
2006-06-30,0.5,5.25
2006-09-30,0.0,5.25
2006-12-31,0.0,5.25
2007-03-31,0.0,5.25
2007-06-30,0.0,5.25
2007-09-30,-0.5,4.75
2007-12-31,-0.5,4.25
2008-03-31,-2.0,2.25
2008-06-30,-0.25,2.0
2008-09-30,0.0,2.0
2008-12-31,-1.75,0.25
2009-03-31,0.0,0.25
2009-06-30,0.0,0.25
2009-09-30,0.0,0.25
2009-12-31,0.0,0.25
2010-03-31,0.0,0.25
2010-06-30,0.0,0.25
2010-09-30,0.0,0.25
2010-12-31,0.0,0.25
2011-03-31,0.0,0.25
2011-06-30,0.0,0.25
2011-09-30,0.0,0.25
2011-12-31,0.0,0.25
2012-03-31,0.0,0.25
2012-06-30,0.0,0.25
2012-09-30,0.0,0.25
2012-12-31,0.0,0.25
2013-03-31,0.0,0.25
2013-06-30,0.0,0.25
2013-09-30,0.0,0.25
2013-12-31,0.0,0.25
2014-03-31,0.0,0.25
2014-06-30,0.0,0.25
2014-09-30,0.0,0.25
2014-12-31,0.0,0.25
2015-03-31,0.0,0.25
2015-06-30,0.0,0.25
2015-09-30,0.0,0.25
2015-12-31,0.25,0.5
2016-03-31,0.0,0.5
2016-06-30,0.0,0.5
2016-09-30,0.0,0.5
2016-12-31,0.25,0.75
2017-03-31,0.25,1.0
2017-06-30,0.25,1.25
2017-09-30,0.0,1.25
2017-12-31,0.25,1.5
2018-03-31,0.25,1.75
2018-06-30,0.25,2.0
2018-09-30,0.25,2.25
2018-12-31,0.25,2.5
2019-03-31,0.0,2.5
2019-06-30,0.0,2.5
2019-09-30,-0.5,2.0
2019-12-31,-0.25,1.75
2020-03-31,-1.5,0.25
2020-06-30,0.0,0.25
2020-09-30,0.0,0.25
2020-12-31,0.0,0.25
2021-03-31,0.0,0.25
2021-06-30,0.0,0.25
2021-09-30,0.0,0.25
2021-12-31,0.0,0.25
2022-03-31,0.25,0.5
2022-06-30,1.25,1.75
2022-09-30,1.5,3.25
2022-12-31,1.25,4.5
2023-03-31,0.5,5.0
2023-06-30,0.25,5.25
2023-09-30,0.25,5.5
2023-12-31,0.0,5.5
2024-03-31,0.0,5.5
2024-06-30,0.0,5.5
2024-09-30,-0.5,5.0
2024-12-31,-0.5,4.5
2025-03-31,0.0,4.5
2025-06-30,0.0,4.5
2025-09-30,-0.25,4.25
2025-12-31,-0.5,3.75
2026-03-31,0.0,3.75
2026-06-30,0.0,3.75
2026-09-30,0.0,3.75
